rm -f vcs/dump.fsdb
python3 /home/maxma2/Documents/ECE511/mp3/sim/../bin/get_options.py clock
2000
cp ../inputs_* vcs/
cd vcs && ./top_tb -l simulation.log -exitstatus -suppress=ASLR_DETECTED_INFO \
	+TIMEOUT_ECE511=40000 \
	+CLOCK_PERIOD_PS_ECE511=2000
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Mar 23 15:56 2025
*Verdi* Loading libsscore_vcs202409.so
FSDB Dumper for VCS, Release Verdi_W-2024.09, Linux x86_64/64bit, 08/17/2024
(C) 1996 - 2024 by Synopsys, Inc.
*Verdi* : Create FSDB file 'dump.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
Time: 5000, Core 0: State: CPU_READ, addr: 0, wdata: 0
Time: 5000, Core 1: State: CPU_READ, addr: 0, wdata: 0
Time: 5000, Core 2: State: CPU_READ, addr: 0, wdata: 0
Time: 5000, Core 3: State: CPU_READ, addr: 0, wdata: 0
Time: 15000, Core 0: State: CPU_WRITE, addr: 0, wdata: 4
Time: 221000, Core 1: State: CPU_READ, addr: 1, wdata: 0
Time: 227000, Core 2: State: CPU_READ, addr: 1, wdata: 0
Time: 233000, Core 3: State: CPU_READ, addr: 1, wdata: 0
Time: 239000, Core 0: State: CPU_READ, addr: 1, wdata: 0
Time: 431000, Core 1: State: CPU_READ, addr: 2, wdata: 0
Time: 437000, Core 2: State: CPU_READ, addr: 2, wdata: 0
Time: 443000, Core 3: State: CPU_READ, addr: 2, wdata: 0
Time: 449000, Core 0: State: CPU_READ, addr: 2, wdata: 0
Time: 641000, Core 1: State: CPU_READ, addr: 3, wdata: 0
Time: 647000, Core 2: State: CPU_READ, addr: 3, wdata: 0
Time: 653000, Core 3: State: CPU_READ, addr: 3, wdata: 0
Time: 659000, Core 0: State: CPU_READ, addr: 3, wdata: 0
Time: 851000, Core 1: State: CPU_READ, addr: 0, wdata: 0
Time: 857000, Core 2: State: CPU_READ, addr: 0, wdata: 0
Time: 861000, Core 1: State: CPU_WRITE, addr: 0, wdata: 4
Time: 863000, Core 3: State: CPU_READ, addr: 0, wdata: 0
Time: 869000, Core 0: State: CPU_READ, addr: 0, wdata: 0
Time: 1067000, Core 2: State: CPU_READ, addr: 1, wdata: 0
Time: 1073000, Core 0: State: CPU_READ, addr: 1, wdata: 0
Time: 1073000, Core 3: State: CPU_READ, addr: 1, wdata: 0
Time: 1079000, Core 1: State: CPU_READ, addr: 1, wdata: 0
Time: 1271000, Core 2: State: CPU_READ, addr: 2, wdata: 0
Time: 1277000, Core 0: State: CPU_READ, addr: 2, wdata: 0
Time: 1277000, Core 3: State: CPU_READ, addr: 2, wdata: 0
Time: 1283000, Core 1: State: CPU_READ, addr: 2, wdata: 0
Time: 1475000, Core 2: State: CPU_READ, addr: 3, wdata: 0
Time: 1481000, Core 0: State: CPU_READ, addr: 3, wdata: 0
Time: 1481000, Core 3: State: CPU_READ, addr: 3, wdata: 0
Time: 1487000, Core 1: State: CPU_READ, addr: 3, wdata: 0
Time: 1679000, Core 2: State: CPU_READ, addr: 0, wdata: 0
Time: 1685000, Core 0: State: CPU_READ, addr: 0, wdata: 0
Time: 1685000, Core 3: State: CPU_READ, addr: 0, wdata: 0
Time: 1689000, Core 2: State: CPU_WRITE, addr: 0, wdata: 4
Time: 1691000, Core 1: State: CPU_READ, addr: 0, wdata: 0
Time: 1895000, Core 1: State: CPU_READ, addr: 1, wdata: 0
Time: 1895000, Core 3: State: CPU_READ, addr: 1, wdata: 0
Time: 1901000, Core 0: State: CPU_READ, addr: 1, wdata: 0
Time: 1907000, Core 2: State: CPU_READ, addr: 1, wdata: 0
Time: 2099000, Core 1: State: CPU_READ, addr: 2, wdata: 0
Time: 2099000, Core 3: State: CPU_READ, addr: 2, wdata: 0
Time: 2105000, Core 0: State: CPU_READ, addr: 2, wdata: 0
Time: 2111000, Core 2: State: CPU_READ, addr: 2, wdata: 0
Time: 2303000, Core 1: State: CPU_READ, addr: 3, wdata: 0
Time: 2303000, Core 3: State: CPU_READ, addr: 3, wdata: 0
Time: 2309000, Core 0: State: CPU_READ, addr: 3, wdata: 0
Time: 2315000, Core 2: State: CPU_READ, addr: 3, wdata: 0
Time: 2507000, Core 1: State: CPU_READ, addr: 0, wdata: 0
Time: 2507000, Core 3: State: CPU_READ, addr: 0, wdata: 0
Time: 2513000, Core 0: State: CPU_READ, addr: 0, wdata: 0
Time: 2517000, Core 3: State: CPU_WRITE, addr: 0, wdata: 4
Time: 2519000, Core 2: State: CPU_READ, addr: 0, wdata: 0
Time: 2723000, Core 0: State: CPU_READ, addr: 1, wdata: 0
Time: 2723000, Core 2: State: CPU_READ, addr: 1, wdata: 0
Time: 2729000, Core 1: State: CPU_READ, addr: 1, wdata: 0
Time: 2735000, Core 3: State: CPU_READ, addr: 1, wdata: 0
Time: 2927000, Core 0: State: CPU_READ, addr: 2, wdata: 0
Time: 2927000, Core 2: State: CPU_READ, addr: 2, wdata: 0
Time: 2933000, Core 1: State: CPU_READ, addr: 2, wdata: 0
Time: 2939000, Core 3: State: CPU_READ, addr: 2, wdata: 0
Time: 3131000, Core 0: State: CPU_READ, addr: 3, wdata: 0
Time: 3131000, Core 2: State: CPU_READ, addr: 3, wdata: 0
Time: 3137000, Core 1: State: CPU_READ, addr: 3, wdata: 0
Time: 3143000, Core 3: State: CPU_READ, addr: 3, wdata: 0
Time: 3337000, Core 0: State: CPU_WRITE, addr: 54, wdata: 194
Time: 3339000, Core 2: State: CPU_WRITE, addr: 36, wdata: 24
Time: 3341000, Core 1: State: CPU_WRITE, addr: 46, wdata: 149
Time: 3349000, Core 0: State: CPU_WRITE, addr: 30, wdata: 96
Time: 3349000, Core 3: State: CPU_READ, addr: 43, wdata: 0
Time: 3355000, Core 1: State: CPU_READ, addr: 41, wdata: 0
Time: 3361000, Core 2: State: CPU_WRITE, addr: 11, wdata: 37
Time: 3367000, Core 3: State: CPU_READ, addr: 40, wdata: 0
Time: 3383000, Core 1: State: CPU_WRITE, addr: 5, wdata: 167
Time: 3385000, Core 2: State: CPU_READ, addr: 21, wdata: 0
Time: 3401000, Core 0: State: CPU_WRITE, addr: 55, wdata: 210
Time: 3409000, Core 2: State: CPU_READ, addr: 51, wdata: 0
Time: 3415000, Core 3: State: CPU_WRITE, addr: 39, wdata: 88
Time: 3421000, Core 0: State: CPU_WRITE, addr: 50, wdata: 144
Time: 3427000, Core 1: State: CPU_WRITE, addr: 20, wdata: 89
Time: 3451000, Core 1: State: CPU_READ, addr: 13, wdata: 0
Time: 3459000, Core 2: State: CPU_WRITE, addr: 18, wdata: 134
Time: 3463000, Core 3: State: CPU_READ, addr: 33, wdata: 0
Time: 3469000, Core 0: State: CPU_READ, addr: 6, wdata: 0
Time: 3481000, Core 2: State: CPU_READ, addr: 0, wdata: 0
Time: 3487000, Core 3: State: CPU_READ, addr: 41, wdata: 0
Time: 3499000, Core 1: State: CPU_READ, addr: 30, wdata: 0
Time: 3517000, Core 0: State: CPU_WRITE, addr: 7, wdata: 35
Time: 3529000, Core 2: State: CPU_READ, addr: 58, wdata: 0
Time: 3535000, Core 3: State: CPU_READ, addr: 44, wdata: 0
Time: 3547000, Core 1: State: CPU_READ, addr: 55, wdata: 0
Time: 3567000, Core 0: State: CPU_READ, addr: 56, wdata: 0
Time: 3571000, Core 1: State: CPU_READ, addr: 62, wdata: 0
Time: 3579000, Core 2: State: CPU_READ, addr: 48, wdata: 0
Time: 3587000, Core 3: State: CPU_READ, addr: 19, wdata: 0
Time: 3589000, Core 0: State: CPU_WRITE, addr: 44, wdata: 136
Time: 3621000, Core 1: State: CPU_WRITE, addr: 9, wdata: 209
Time: 3627000, Core 2: State: CPU_WRITE, addr: 10, wdata: 102
Time: 3631000, Core 3: State: CPU_READ, addr: 50, wdata: 0
Time: 3641000, Core 0: State: CPU_WRITE, addr: 54, wdata: 254
Time: 3657000, Core 3: State: CPU_WRITE, addr: 16, wdata: 100
Time: 3667000, Core 1: State: CPU_WRITE, addr: 56, wdata: 176
Time: 3673000, Core 2: State: CPU_READ, addr: 61, wdata: 0
Time: 3681000, Core 3: State: CPU_READ, addr: 39, wdata: 0
Time: 3685000, Core 0: State: CPU_WRITE, addr: 5, wdata: 254
Time: 3709000, Core 0: State: CPU_READ, addr: 45, wdata: 0
Time: 3715000, Core 1: State: CPU_WRITE, addr: 25, wdata: 212
Time: 3723000, Core 2: State: CPU_WRITE, addr: 51, wdata: 3
Time: 3727000, Core 3: State: CPU_READ, addr: 44, wdata: 0
Time: 3731000, Core 2: State: CPU_WRITE, addr: 22, wdata: 81
Time: 3757000, Core 0: State: CPU_WRITE, addr: 35, wdata: 241
Time: 3763000, Core 1: State: CPU_WRITE, addr: 7, wdata: 33
Time: 3769000, Core 2: State: CPU_WRITE, addr: 34, wdata: 15
Time: 3775000, Core 3: State: CPU_READ, addr: 29, wdata: 0
Time: 3805000, Core 0: State: CPU_WRITE, addr: 0, wdata: 192
Time: 3815000, Core 1: State: CPU_WRITE, addr: 16, wdata: 6
Time: 3817000, Core 2: State: CPU_WRITE, addr: 11, wdata: 75
Time: 3823000, Core 3: State: CPU_READ, addr: 42, wdata: 0
Time: 3837000, Core 0: State: CPU_READ, addr: 10, wdata: 0
Time: 3859000, Core 1: State: CPU_WRITE, addr: 6, wdata: 220
Time: 3867000, Core 2: State: CPU_READ, addr: 57, wdata: 0
Time: 3871000, Core 3: State: CPU_READ, addr: 8, wdata: 0
Time: 3877000, Core 0: State: CPU_WRITE, addr: 51, wdata: 125
Time: 3897000, Core 3: State: CPU_READ, addr: 56, wdata: 0
Time: 3913000, Core 1: State: CPU_WRITE, addr: 61, wdata: 115
Time: 3919000, Core 2: State: CPU_READ, addr: 25, wdata: 0
Time: 3925000, Core 0: State: CPU_WRITE, addr: 43, wdata: 5
Time: 3943000, Core 3: State: CPU_WRITE, addr: 5, wdata: 151
Time: 3955000, Core 1: State: CPU_READ, addr: 7, wdata: 0
Time: 3959000, Core 1: State: CPU_READ, addr: 24, wdata: 0
Time: 3967000, Core 2: State: CPU_READ, addr: 24, wdata: 0
Time: 3973000, Core 0: State: CPU_READ, addr: 32, wdata: 0
Time: 3995000, Core 3: State: CPU_WRITE, addr: 63, wdata: 202
Time: 4007000, Core 1: State: CPU_WRITE, addr: 33, wdata: 59
Time: 4009000, Core 2: State: CPU_READ, addr: 54, wdata: 0
Time: 4023000, Core 0: State: CPU_WRITE, addr: 45, wdata: 140
Time: 4027000, Core 0: State: CPU_WRITE, addr: 52, wdata: 153
Time: 4041000, Core 3: State: CPU_READ, addr: 20, wdata: 0
Time: 4051000, Core 1: State: CPU_WRITE, addr: 26, wdata: 16
Time: 4057000, Core 2: State: CPU_WRITE, addr: 30, wdata: 112
Time: 4073000, Core 0: State: CPU_READ, addr: 40, wdata: 0
Time: 4087000, Core 3: State: CPU_READ, addr: 5, wdata: 0
Time: 4099000, Core 1: State: CPU_READ, addr: 44, wdata: 0
Time: 4101000, Core 3: State: CPU_WRITE, addr: 23, wdata: 160
Time: 4105000, Core 2: State: CPU_READ, addr: 63, wdata: 0
Time: 4119000, Core 0: State: CPU_WRITE, addr: 20, wdata: 135
Time: 4125000, Core 1: State: CPU_READ, addr: 63, wdata: 0
Time: 4141000, Core 3: State: CPU_WRITE, addr: 1, wdata: 160
Time: 4163000, Core 2: State: CPU_WRITE, addr: 58, wdata: 160
Time: 4165000, Core 0: State: CPU_READ, addr: 40, wdata: 0
Time: 4175000, Core 1: State: CPU_READ, addr: 0, wdata: 0
Time: 4183000, Core 3: State: CPU_WRITE, addr: 43, wdata: 34
Time: 4195000, Core 1: State: CPU_READ, addr: 40, wdata: 0
Time: 4203000, Core 2: State: CPU_WRITE, addr: 29, wdata: 152
Time: 4213000, Core 0: State: CPU_READ, addr: 8, wdata: 0
